ITEMCODE,ITEMNAME,COMPANY,PROFITPERC,DISCOUNTPE,ICHARGES,SHORTNAME,SELECTED,SALEAC,PURAC,CSTSALE,QTYRATE,UNIT,PACKINGPC,WEIGHT,EXCISEPC,EXCISETYPE,GROUPCODE,ITEMDESC1,ITEMDESC2,TAXONSPMRP,INCLUSIVE,MINIMUMSTO,MAXIMUMSTO,SALETAXPE,NARCOTIC,BIGUNIT,UPCCODE,LOCATION,DPCOACT,HONESCHEDU,IUCCODE,SAPCODE,BARCODE,HSNCODE,ADDITIONCE
71,ALUMINIUM MET     30 30ML,2,0.00,0.00,0.00,WSI  -83,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
72,ALUMINIUM MUR     30 30ML,2,0.00,0.00,0.00,WSI  -84,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
73,AMBROSIA ART      30 30ML,2,0.00,0.00,0.00,WSI  -86,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
74,AMMI VIS          30 30ML,2,0.00,0.00,0.00,WSI  -87,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
75,AMMONIACUM GUM    30 30ML,2,0.00,0.00,0.00,WSI  -88,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
76,AMMONIUM ACE      30 30ML,2,0.00,0.00,0.00,WSI  -89,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
77,AMMONIUM BEN      30 30ML,2,0.00,0.00,0.00,WSI  -90,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
78,AMMONIUM BRO      30 30ML,2,0.00,0.00,0.00,WSI  -91,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
79,AMMONIUM CAU      30 30ML,2,0.00,0.00,0.00,WSI  -93,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
80,AMMONIUM IOD      30 30ML,2,0.00,0.00,0.00,WSI  -94,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
81,AMMONIUM MUR      30 30ML,2,0.00,0.00,0.00,WSI  -95,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
82,AMMONIUM NIT      30 30ML,2,0.00,0.00,0.00,WSI  -96,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
83,AMMONIUM PHOS     30 30ML,2,0.00,0.00,0.00,WSI  -97,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
84,AMMONIUM TAR      30 30ML,2,0.00,0.00,0.00,WSI  -98,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
85,AMMONIUM VAL      30 30ML,2,0.00,0.00,0.00,WSI  -99,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
86,AMOORA ROH        30 30ML,2,0.00,0.00,0.00,WSI -100,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
87,AMPELOPSIS QUI    30 30ML,2,0.00,0.00,0.00,WSI -101,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,0.00
88,AMYGDALUS AMA     30 30ML,2,0.00,0.00,0.00,WSI -102,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
89,AMYL NIT          30 30ML,2,0.00,0.00,0.00,WSI -103,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
90,ANACARDIUM OCC    30 30ML,2,0.00,0.00,0.00,WSI -104,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,0.00
91,ANACARDIUM ORI    30 30ML,2,0.00,0.00,0.00,WSI -105,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,0.00
92,ANAGALLIS ARV     30 30ML,2,0.00,0.00,0.00,WSI -106,,8,13,0,0.000,,0,0.000,0.00,,0,,,0,FALSE,1,2,0.00,FALSE,0.00,,,FALSE,FALSE,,,,30049014,
