EICHHORNIA CRA,EICHHORNIA CRASSIPES
ELAEIS GUI,ELAEIS GUINEENSIS
ELAPS COR,ELAPS CORALLINUS
ELATERIUM,ELATERIUM
EMBELIA RIB,EMBELIA RIBES
ENTEROCOCCINUM,ENTEROCOCCINUM
EPHEDRA VUL,EPHEDRA VULGARIS
EPHEDRINUM MUR,EPHEDRINUM MURIATICUM
EPIGAEA REP,EPIGAEA REPENS
EPILOBINUM PAL,EPILOBINUM PALUSTRE
EPIPHEGUS VIR,EPIPHEGUS VIRGINIANA
EQUISETUM ARV,EQUISETUM ARVENSE
EQUISETUM HYE,EQUISETUM HYEMALE
ERECHTHITES HIE,ERECHTHITES
ERIGERON CAN,ERIGERON CANADENSE
ERODIUM CIC,ERODIUM CICUTARIUM
ERYNGIUM AQU,ERYNGIUM AQUATICUM
ERYNGIUM MAR,ERYNGIUM MARITIMUM
ESCHSCHOLTZIA CA,ESCHSCHOLTZIA CALIFORNICA
EUGENIA CAR,EUGENIA CARYOPHYLLATA
EUGENIA JAM,EUGENIA JAMBOSA
EUONYMUS ATR,EUONYMUS ATROPURPUREA
EUONYMUS EUR,EUONYMUS EUROPAEUS
EUPATORIUM ARO,EUPATORIUM AROMATICUM
EUPATORIUM CAN,EUPATORIUM CANNABINUM
EUPATORIUM PER,EUPATORIUM PERFOLIATUM
EUPATORIUM PUR,EUPATORIUM PURPURIUM
EUPHORBIA AMY,EUPHORBIA AMYGDALOIDES
EUPHORBIA COR,EUPHORBIA COROLLATA
EUPHORBIA CYP,EUPHORBIA CYPARISSIAS
EUPHORBIA LAT,EUPHORBIA LATHYRS
EUPHORBIA PIL,EUPHORBIA PILULIFERA
EUPIONUM,EUPIONUM
FAGOPYRUM ESC,FAGOPYRUM ESCULENTUM
FEL TAU,FEL TAURI
FERRUM ACE,FERRUM ACETICUM
FERRUM ARS CI,FERRUM ARSENICICUM
FERRUM CARB,FERRUM CARBONICUM
FERRUM IOD,FERRUM IODATUM
FERRUM LAC,FERRUM LACTICUM
FERRUM MAG,FERRUM MAGNETICUM
FERRUM PHOS,FERRUM PHOSPHORICUM
FERRUM OXY NIG,FERRUM OXYDULATUM NIGRUM
FERRUM PER,FERRUM PERNITRICUM
FERRUM MUR,FERRUM MURIATICUM
FERRUM SID,FERRUM SIDEREUM
FERRUM SUL RA,FERRUM SULPHURATUM
FERRUM TAR,FERRUM TARTARICUM
FICUS IND,FICUS INDICA
FICUS REL,FICUS RELIGIOSA
FILIPENDULA ULM,FILIPENDULA ULMARIA
FILIX MAS,FILIX MAS
FOENICULUM VUL,FOENICULUM VULGARE
FORMALINUM,FORMALINUM
FORMICA RUF,FORMICA RUFA
FRANCISCEA UNI,FRANCISCEA UNIFLORA
FRASERA CAR,FRASERA CAROLINIENSIS
FRAXINUS AME,FRAXINUS AMERICANA
FRAXINUS EXC,FRAXINUS EXCELSIOR
FUCUS VES,FUCUS VESICULOSUS
FUMARIA OFF,FUMARIA OFFICINALIS
GALANTHUS NIV,GALANTHUS NIVALIS
GALBANUM,GALBANUM
GALEGA OFF,GALEGA OFFICINALIS
GALIUM APA,GALIUM APARINE
GALLAE TUR,GALLAE TURCICAE
GALPHIMIA GLA,GALPHIMIA GLAUCA
GAMBOGIA,GAMBOGIA
GAULTHERIA PRO,GAULTHERIA PROCUMBENS
GELSEMIUM SEM,GELSEMIUM SEMPERVIRENS
GENISTA TIN,GENISTA TINCTORIA
GENTIANA CRU,GENTIANA CRUCIATA
